bill_date,ALCALINAS,BOMBILLOS,ENCENDEDORES,MANGANESO,OTROS,TERCEROS,month,year,year_month,date
2018-07-03 05:00:00+00:00,595.0,272.0,320.0,2562.0,349.0,0.0,7,2018,2018-07-01,2018-07-03
2018-07-04 05:00:00+00:00,968.0,246.0,112.0,8391.0,227.0,0.0,7,2018,2018-07-01,2018-07-04
2018-07-05 05:00:00+00:00,1473.0,420.0,604.0,14075.0,549.0,0.0,7,2018,2018-07-01,2018-07-05
2018-07-06 05:00:00+00:00,787.0,231.0,250.0,6905.0,850.0,0.0,7,2018,2018-07-01,2018-07-06
2018-07-07 05:00:00+00:00,1135.0,302.0,278.0,9970.0,150.0,0.0,7,2018,2018-07-01,2018-07-07
2018-07-08 05:00:00+00:00,185.0,0.0,144.0,195.0,0.0,0.0,7,2018,2018-07-01,2018-07-08
2018-07-09 05:00:00+00:00,1391.0,561.0,2230.0,8535.0,159.0,0.0,7,2018,2018-07-01,2018-07-09
2018-07-10 05:00:00+00:00,1328.0,454.0,1026.0,9059.0,642.0,0.0,7,2018,2018-07-01,2018-07-10
2018-07-11 05:00:00+00:00,1753.0,792.0,736.0,10713.0,476.0,0.0,7,2018,2018-07-01,2018-07-11
2018-07-12 05:00:00+00:00,806.0,228.0,709.0,13432.0,423.0,0.0,7,2018,2018-07-01,2018-07-12
2018-07-13 05:00:00+00:00,1150.0,186.0,418.0,21674.0,401.0,0.0,7,2018,2018-07-01,2018-07-13
2018-07-14 05:00:00+00:00,258.0,115.0,212.0,2037.0,218.0,0.0,7,2018,2018-07-01,2018-07-14
2018-07-15 05:00:00+00:00,0.0,63.0,48.0,0.0,0.0,0.0,7,2018,2018-07-01,2018-07-15
2018-07-16 05:00:00+00:00,334.0,89.0,244.0,13136.0,307.0,0.0,7,2018,2018-07-01,2018-07-16
2018-07-17 05:00:00+00:00,1646.0,519.0,1783.0,27837.0,761.0,0.0,7,2018,2018-07-01,2018-07-17
2018-07-18 05:00:00+00:00,2604.0,372.0,1208.0,10603.0,242.0,0.0,7,2018,2018-07-01,2018-07-18
2018-07-19 05:00:00+00:00,2249.0,630.0,664.0,26234.0,462.0,0.0,7,2018,2018-07-01,2018-07-19
2018-07-20 05:00:00+00:00,713.0,134.0,436.0,5014.0,86.0,0.0,7,2018,2018-07-01,2018-07-20
2018-07-21 05:00:00+00:00,140.0,16.0,92.0,639.0,150.0,0.0,7,2018,2018-07-01,2018-07-21
2018-07-22 05:00:00+00:00,30.0,0.0,12.0,0.0,40.0,0.0,7,2018,2018-07-01,2018-07-22
2018-07-23 05:00:00+00:00,1330.0,208.0,722.0,12553.0,356.0,0.0,7,2018,2018-07-01,2018-07-23
2018-07-24 05:00:00+00:00,1144.0,220.0,748.0,11487.0,388.0,0.0,7,2018,2018-07-01,2018-07-24
2018-07-25 05:00:00+00:00,1483.0,805.0,2549.0,11935.0,621.0,0.0,7,2018,2018-07-01,2018-07-25
2018-07-26 05:00:00+00:00,1184.0,342.0,1375.0,7678.0,538.0,0.0,7,2018,2018-07-01,2018-07-26
2018-07-27 05:00:00+00:00,763.0,355.0,952.0,8377.0,320.0,0.0,7,2018,2018-07-01,2018-07-27
2018-07-28 05:00:00+00:00,457.0,262.0,1716.0,5587.0,43.0,0.0,7,2018,2018-07-01,2018-07-28
2018-07-30 05:00:00+00:00,1956.0,255.0,924.0,6800.0,322.0,0.0,7,2018,2018-07-01,2018-07-30
